nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_01678_01660	NA	darkviolet
GS1_SS_01679_03887	NA	lavender
GS1_SS_01680_13572	NA	antiquewhite2
GS1_SS_01682_20879	NA	blue1
GS1_SS_01685_09032	NA	cornflowerblue
GS1_SS_01690_10145	NA	coral4
GS1_SS_01691_08510	NA	cornflowerblue
GS1_SS_01693_19773	NA	coral4
GS1_SS_01696_17365	NA	darkviolet
GS1_SS_01698_11467	NA	cornflowerblue
GS1_SS_01699_18482	NA	cornflowerblue
GS1_SS_01707_05564	NA	lavender
GS1_SS_01710_17369	NA	coral4
GS1_SS_01713_10834	NA	cornflowerblue
GS1_SS_01714_12885	NA	coral4
GS1_SS_01715_19359	NA	coral4
GS1_SS_01721_09264	NA	darkviolet
GS1_SS_01725_12785	NA	lavender
GS1_SS_01730_12411	NA	darkviolet
GS1_SS_01732_12404	NA	plum3
GS1_SS_01748_02203	NA	antiquewhite2
GS1_SS_01751_10166	NA	lavender
GS1_SS_01756_16517	NA	lavender
GS1_SS_01758_18783	NA	cornflowerblue
GS1_SS_01760_17579	NA	cornflowerblue
GS1_SS_01762_10200	NA	darkviolet
GS1_SS_01765_16005	NA	cornflowerblue
GS1_SS_01767_10243	NA	lightskyblue4
GS1_SS_01768_02735	NA	blue1
GS1_SS_01789_12698	NA	darkviolet
GS1_SS_01793_05541	NA	darkviolet
GS1_SS_01805_11446	NA	coral4
GS1_SS_01808_13897	NA	lightskyblue4
GS1_SS_01811_20552	NA	antiquewhite2
GS1_SS_01812_21497	NA	cornflowerblue
GS1_SS_01818_00758	NA	coral4
GS1_SS_01822_03703	NA	darkviolet
GS1_SS_01829_15967	NA	coral4
GS1_SS_01834_12074	NA	cornflowerblue
GS1_SS_01844_08215	NA	lightskyblue4
GS1_SS_01853_06264	NA	antiquewhite2
GS1_SS_01856_21219	NA	darkviolet
GS1_SS_01857_18101	NA	darkviolet
GS1_SS_01858_07474	NA	darkviolet
GS1_SS_01867_08709	NA	antiquewhite2
GS1_SS_01877_07548	NA	cornflowerblue
